,name,id,level
376,latin american restaurant,4bf58dd8d48988d1be941735,1
377,arepa restaurant,4bf58dd8d48988d152941735,2
378,empanada restaurant,52939a8c3cf9994f4e043a35,2
379,honduran restaurant,5f2c32587ff30c0d7ac09638,2
380,salvadoran restaurant,5745c7ac498e5d0483112fdb,2
381,south american restaurant,4bf58dd8d48988d1cd941735,2
382,argentinian restaurant,4bf58dd8d48988d107941735,3
383,brazilian restaurant,4bf58dd8d48988d16b941735,3
384,acai house,5294c7523cf9994f4e043a62,4
385,baiano restaurant,52939ae13cf9994f4e043a3b,4
386,central brazilian restaurant,52939a9e3cf9994f4e043a36,4
387,churrascaria,52939a643cf9994f4e043a33,4
388,empada house,5294c55c3cf9994f4e043a61,4
389,goiano restaurant,52939af83cf9994f4e043a3d,4
390,mineiro restaurant,52939aed3cf9994f4e043a3c,4
391,northeastern brazilian restaurant,52939aae3cf9994f4e043a37,4
392,northern brazilian restaurant,52939ab93cf9994f4e043a38,4
393,pastelaria,5294cbda3cf9994f4e043a63,4
394,southeastern brazilian restaurant,52939ac53cf9994f4e043a39,4
395,southern brazilian restaurant,52939ad03cf9994f4e043a3a,4
396,tapiocaria,52939a7d3cf9994f4e043a34,4
397,colombian restaurant,58daa1558bbb0b01f18ec1f4,3
398,peruvian restaurant,4eb1bfa43b7b52c0e1adc2e8,3
399,peruvian roast chicken joint,5f2c1c31b6d05514c704334c,4
400,venezuelan restaurant,56aa371be4b08b9a8d573558,3
401,mac & cheese joint,4bf58dd8d48988d1bf941735,1
402,mediterranean restaurant,4bf58dd8d48988d1c0941735,1
403,moroccan restaurant,4bf58dd8d48988d1c3941735,2
404,mexican restaurant,4bf58dd8d48988d1c1941735,1
405,botanero,58daa1558bbb0b01f18ec1d9,2
406,burrito place,4bf58dd8d48988d153941735,2
407,taco place,4bf58dd8d48988d151941735,2
408,tex-mex restaurant,56aa371ae4b08b9a8d5734ba,2
409,yucatecan restaurant,5744ccdfe4b0c0459246b4d3,2
410,middle eastern restaurant,4bf58dd8d48988d115941735,1
411,egyptian restaurant,5bae9231bedf3950379f89e1,2
412,iraqi restaurant,5bae9231bedf3950379f89e7,2
413,israeli restaurant,56aa371be4b08b9a8d573529,2
414,kurdish restaurant,5744ccdfe4b0c0459246b4ca,2
415,lebanese restaurant,58daa1558bbb0b01f18ec1cd,2
416,persian restaurant,52e81612bcbc57f1066b79f7,2
417,ash and haleem place,58daa1558bbb0b01f18ec1bc,3
418,dizi place,58daa1558bbb0b01f18ec1c0,3
419,gilaki restaurant,58daa1558bbb0b01f18ec1c4,3
420,jegaraki,58daa1558bbb0b01f18ec1c7,3
421,tabbakhi,5744ccdfe4b0c0459246b4a8,3
422,shawarma place,5bae9231bedf3950379f89e4,2
423,syrian restaurant,5bae9231bedf3950379f89da,2
424,yemeni restaurant,5bae9231bedf3950379f89ea,2
425,modern european restaurant,52e81612bcbc57f1066b79f9,1
426,molecular gastronomy restaurant,4bf58dd8d48988d1c2941735,1
427,pakistani restaurant,52e81612bcbc57f1066b79f8,1
428,pet café,56aa371be4b08b9a8d573508,1
429,pizza place,4bf58dd8d48988d1ca941735,1
430,polish restaurant,52e81612bcbc57f1066b7a04,1
431,portuguese restaurant,4def73e84765ae376e57713a,1
432,poutine place,56aa371be4b08b9a8d5734c7,1
433,restaurant,4bf58dd8d48988d1c4941735,1
434,russian restaurant,5293a7563cf9994f4e043a44,1
435,blini house,52e928d0bcbc57f1066b7e9d,2
436,pelmeni house,52e928d0bcbc57f1066b7e9c,2
437,salad place,4bf58dd8d48988d1bd941735,1
438,sandwich place,4bf58dd8d48988d1c5941735,1
439,scandinavian restaurant,4bf58dd8d48988d1c6941735,1
440,scottish restaurant,5744ccdde4b0c0459246b4a3,1
441,seafood restaurant,4bf58dd8d48988d1ce941735,1
442,slovak restaurant,56aa371be4b08b9a8d57355a,1
443,snack place,4bf58dd8d48988d1c7941735,1
444,soup place,4bf58dd8d48988d1dd931735,1
445,southern soul food restaurant,4bf58dd8d48988d14f941735,1
446,spanish restaurant,4bf58dd8d48988d150941735,1
447,paella restaurant,4bf58dd8d48988d14d941735,2
448,tapas restaurant,4bf58dd8d48988d1db931735,2
449,sri lankan restaurant,5413605de4b0ae91d18581a9,1
450,steakhouse,4bf58dd8d48988d1cc941735,1
451,swiss restaurant,4bf58dd8d48988d158941735,1
452,tea room,4bf58dd8d48988d1dc931735,1
453,theme restaurant,56aa371be4b08b9a8d573538,1
454,turkish restaurant,4f04af1f2fb6e1c99f3db0bb,1
455,borek place,530faca9bcbc57f1066bc2f3,2
456,cigkofte place,530faca9bcbc57f1066bc2f4,2
457,doner restaurant,5283c7b4e4b094cb91ec88d8,2
458,gozleme place,5283c7b4e4b094cb91ec88d9,2
459,kofte place,5283c7b4e4b094cb91ec88db,2
460,kokoreç restaurant,5283c7b4e4b094cb91ec88d6,2
461,kumpir restaurant,56aa371be4b08b9a8d573535,2
462,kumru restaurant,56aa371be4b08b9a8d5734bd,2
463,manti place,5283c7b4e4b094cb91ec88d5,2
