,Districts,Neighborhoods,lat,lng
333,鹽埕區,港都里,22.6232967,120.28073701687092
334,鹽埕區,江西里,22.62417035,120.27882630843203
335,鹽埕區,新豐里,22.621740350000003,120.27874348022821
336,鹽埕區,府北里,22.6283131,120.28562867581715
337,鹽埕區,陸橋里,22.628461,120.28093086420299
338,鹽埕區,瀨南里,22.62685045,120.28456026522267
339,鹽埕區,新化里,22.61995195,120.28151241006537
340,鹽埕區,江南里,22.6229014,120.28241846596767
341,前鎮區,草衙里,22.57393285,120.32329919463733
342,前鎮區,明孝里,22.56810435,120.31607298401605
343,前鎮區,明義里,22.5758785,120.32885214938324
344,前鎮區,明正里,22.5819536,120.33121461812758
345,前鎮區,明道里,22.58305785,120.32101469248754
346,前鎮區,明禮里,22.58475995,120.32447218871044
347,前鎮區,仁愛里,22.58061915,120.31510762471481
348,前鎮區,德昌里,22.5805967,120.31949619899306
349,前鎮區,平等里,22.58811685,120.32092946336425
350,前鎮區,平昌里,22.58647435,120.31752987190444
351,前鎮區,信義里,22.5844619,120.31560217347737
352,前鎮區,信德里,22.58594975,120.31641774418668
353,前鎮區,興化里,22.57904915,120.30687914812279
354,前鎮區,興仁里,22.58669785,120.31160867127005
355,前鎮區,興邦里,22.5976696,120.30937275855521
356,前鎮區,前鎮里,22.5889321,120.3081576421088
357,前鎮區,鎮榮里,22.5897987,120.31091530722554
358,前鎮區,鎮昌里,22.590019499999997,120.31378149775429
359,前鎮區,鎮海里,22.590603,120.31747726182167
360,前鎮區,鎮陽里,22.591587699999998,120.30797717798508
361,前鎮區,鎮中里,22.58849005,120.30628279898382
362,前鎮區,鎮北里,22.59651985,120.29628213320612
363,前鎮區,鎮東里,22.59236105,120.31051753874522
364,旗津區,上竹里,22.581353800000002,120.29384313374294
365,旗津區,中興里,20.690098149999997,116.77896918347425
366,旗津區,安順里,22.5718735,120.30156420427974
367,旗津區,復興里,22.60400525,120.27429242449261
368,旗津區,實踐里,22.606390349999998,120.27735195033998
369,旗津區,中洲里,22.575580549999998,120.29970799902458
370,旗津區,永安里,22.612078949999997,120.26635731373847
371,旗津區,南汕里,22.59261495,120.28540458307026
372,旗津區,慈愛里,22.6103701,120.27110285120938
373,旗津區,中華里,22.605749199999998,120.27135572596328
374,旗津區,北汕里,22.6006866,120.2794500013355
375,旗津區,振興里,22.612427150000002,120.26959230915199
376,旗津區,旗下里,22.6153211,120.26494682790002
377,小港區,小港里,22.557403100000002,120.3372747306708
378,小港區,港正里,22.5617162,120.33435324576381
379,小港區,港明里,22.56881935,120.33207915756171
380,小港區,港墘里,22.56652955,120.33414299059052
381,小港區,港口里,22.560408950000003,120.32561978157135
382,小港區,港后里,22.5708529,120.33489972659802
383,小港區,港南里,22.566781900000002,120.33785252131567
384,小港區,港興里,22.56671875,120.342352060333
385,小港區,鳳宮里,22.5477624,120.34931045533011
386,小港區,店鎮里,22.558393449999997,120.36433464562336
387,小港區,大苓里,22.56838755,120.34724879181098
388,小港區,二苓里,22.56434775,120.35448049085576
389,小港區,三苓里,22.566615050000003,120.34868661540673
390,小港區,正苓里,22.5669521,120.35327492134222
391,小港區,順苓里,22.567821000000002,120.35651011773041
392,小港區,六苓里,22.567821000000002,120.35987052588307
393,小港區,山東里,22.571766699999998,120.34914801946307
394,小港區,青島里,22.573113499999998,120.35537518238698
395,小港區,濟南里,22.573113499999998,120.35902079399327
396,小港區,泰山里,22.5717805,120.36352629818887
397,小港區,山明里,22.5620095,120.366536
398,小港區,高松里,22.57433785,120.37970327660943
399,小港區,松金里,22.5717805,120.36816005681695
400,小港區,松山里,22.567863000000003,120.37654171868633
401,小港區,孔宅里,22.581474,120.37323351046544
402,小港區,廈莊里,22.5787321,120.3604484551438
403,小港區,合作里,22.57830575,120.36398350061837
404,小港區,桂林里,22.57925615,120.3539479560455
405,小港區,中厝里,22.5778954,120.34376576713129
406,小港區,大坪里,22.562104050000002,120.3846262494996
407,小港區,坪頂里,22.54549375,120.38839996530714
408,小港區,鳳森里,22.5345626,120.3344921173151
409,小港區,鳳林里,22.52608415,120.3459085658275
410,小港區,鳳興里,22.5191676,120.34634573903314
411,小港區,鳳源里,22.523403000000002,120.3398223332772
412,小港區,鳳鳴里,22.517899,120.36302449690315
413,小港區,龍鳳里,22.521403399999997,120.36045980714667
414,鳳山區,鳳崗里,22.628176449999998,120.35838576470275
415,鳳山區,縣衙里,22.6265219,120.35794729596685
416,鳳山區,曹公里,22.6301304,120.35885086129525
417,鳳山區,鎮西里,22.6291067,120.35429499707163
418,鳳山區,北門里,22.6344583,120.36535064458802
419,鳳山區,鎮北里,22.64200825,120.37228549362572
420,鳳山區,武松里,22.63819245,120.3635666561932
421,鳳山區,忠誠里,22.644439249999998,120.36713218706512
422,鳳山區,文英里,22.637392900000002,120.35812522238703
423,鳳山區,文華里,22.63388915,120.35573054431075
424,鳳山區,文山里,22.642951099999998,120.36133630157025
425,鳳山區,文德里,22.64362535,120.35091810541728
426,鳳山區,文衡里,22.639495150000002,120.3521924893488
427,鳳山區,文福里,22.63526725,120.34797146635258
428,鳳山區,成功里,22.62383425,120.35846789414927
429,鳳山區,縣口里,22.62530115,120.35802275499606
430,鳳山區,光明里,22.6261642,120.36030828086687
431,鳳山區,和德里,22.6189823,120.36028299813916
432,鳳山區,和興里,22.6165464,120.35629900476074
433,鳳山區,南興里,22.62237145,120.36039751096601
434,鳳山區,三民里,22.62376875,120.36323987436633
435,鳳山區,新興里,22.62653845,120.36267928259454
436,鳳山區,興仁里,22.622131,120.35746334457417
437,鳳山區,興中里,22.622057599999998,120.35444038126488
438,鳳山區,協和里,22.622108599999997,120.3487864965607
439,鳳山區,忠義里,22.6274964,120.35033841465699
440,鳳山區,忠孝里,22.63151015,120.34793951117314
441,鳳山區,中和里,22.6262695,120.34674978626637
442,鳳山區,誠義里,22.61194555,120.35953947828719
443,鳳山區,生明里,22.6176615,120.36303333968434
444,鳳山區,鎮東里,22.6226923,120.3658391174398
445,鳳山區,瑞竹里,22.62588365,120.37080667232632
446,鳳山區,瑞興里,22.627701000000002,120.3671830192175
447,鳳山區,東門里,22.62419585,120.37292898675935
448,鳳山區,誠德里,22.62447005,120.37661180657398
449,鳳山區,誠智里,22.61433795,120.37380244433378
450,鳳山區,誠信里,22.621620649999997,120.37389082276012
451,鳳山區,鳳東里,22.626170799999997,120.38141530259222
452,鳳山區,埤頂里,22.63202095,120.37693972483042
453,鳳山區,中正里,22.629476750000002,120.3718238881099
454,鳳山區,海光里,22.63301795,120.37103611570711
455,鳳山區,國泰里,22.615777100000003,120.35218236221037
456,鳳山區,國光里,22.617829550000003,120.34812865924388
457,鳳山區,國隆里,22.61814635,120.34630039633859
458,鳳山區,國富里,22.616521849999998,120.35014724020968
459,鳳山區,武漢里,22.611202849999998,120.33505715184621
460,鳳山區,武慶里,22.615528400000002,120.33198571707553
461,鳳山區,新甲里,22.607099400000003,120.3431317910129
462,鳳山區,新樂里,22.6093232,120.34253254492708
463,鳳山區,新泰里,22.611317200000002,120.34533854822425
464,鳳山區,新武里,22.6080593,120.33899630947053
465,鳳山區,新強里,22.6175645,120.34205398438931
466,鳳山區,新富里,22.61516665,120.34506651387045
467,鳳山區,海洋里,22.6125599,120.3469005769762
468,鳳山區,老爺里,22.60774965,120.34648379440318
469,鳳山區,中崙里,22.6054343,120.34860653188123
470,鳳山區,中榮里,22.60380855,120.35371012128769
471,鳳山區,中民里,22.604252799999998,120.35211969378712
472,鳳山區,過埤里,22.5994508,120.36324513942495
